Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Constructor,"exception.TeacherException.TeacherException",,1,,0
Package,"migration",1,48,1,4
Public Class,"migration.M001_CreatingCourseTable",1,2,1,0
Public Constructor,"migration.M001_CreatingCourseTable.M001_CreatingCourseTable",,1,,0
Public Method,"migration.M001_CreatingCourseTable.up",,1,,0
Public Class,"migration.M002_CreatingUserTable",1,2,1,0
Public Constructor,"migration.M002_CreatingUserTable.M002_CreatingUserTable",,1,,0
Public Method,"migration.M002_CreatingUserTable.up",,1,,0
Public Class,"migration.M003_CreatingPackageTable",1,2,1,0
Public Constructor,"migration.M003_CreatingPackageTable.M003_CreatingPackageTable",,1,,0
Public Method,"migration.M003_CreatingPackageTable.up",,1,,0
Public Class,"migration.M004_CreatingPackageCourseTable",1,2,1,0
Public Constructor,"migration.M004_CreatingPackageCourseTable.M004_CreatingPackageCourseTable",,1,,0
Public Method,"migration.M004_CreatingPackageCourseTable.up",,1,,0
Public Class,"migration.M005_AddingStatusColumnToPackageTable",1,2,1,0
Public Constructor,"migration.M005_AddingStatusColumnToPackageTable.M005_AddingStatusColumnToPackageTable",,1,,0
Public Method,"migration.M005_AddingStatusColumnToPackageTable.up",,1,,0
Public Class,"migration.M006_CreatingStudentTable",1,2,1,0
Public Constructor,"migration.M006_CreatingStudentTable.M006_CreatingStudentTable",,1,,0
Public Method,"migration.M006_CreatingStudentTable.up",,1,,0
Public Class,"migration.M007_CreatingPaymentTable",1,2,1,0
Public Constructor,"migration.M007_CreatingPaymentTable.M007_CreatingPaymentTable",,1,,0
Public Method,"migration.M007_CreatingPaymentTable.up",,1,,0
Public Class,"migration.M008_CreatingServiceTable",1,2,1,0
Public Constructor,"migration.M008_CreatingServiceTable.M008_CreatingServiceTable",,1,,0
Public Method,"migration.M008_CreatingServiceTable.up",,1,,0
Public Class,"migration.M009_CreatingServiceAssociationsTable",1,2,1,0
Public Constructor,"migration.M009_CreatingServiceAssociationsTable.M009_CreatingServiceAssociationsTable",,1,,0
Public Method,"migration.M009_CreatingServiceAssociationsTable.up",,1,,0
Public Class,"migration.M010_CreatingPaymentDescriptionTable",6,12,1,4
Public Constructor,"migration.M010_CreatingPaymentDescriptionTable.M010_CreatingPaymentDescriptionTable",,1,,0
Public Method,"migration.M010_CreatingPaymentDescriptionTable.up",,11,,4
Public Class,"migration.M011_CreatingTeacherTable",1,2,1,0
Public Constructor,"migration.M011_CreatingTeacherTable.M011_CreatingTeacherTable",,1,,0
Public Method,"migration.M011_CreatingTeacherTable.up",,1,,0
Public Class,"migration.M012_CreatingClassTable",1,2,1,0
Public Constructor,"migration.M012_CreatingClassTable.M012_CreatingClassTable",,1,,0
Public Method,"migration.M012_CreatingClassTable.up",,1,,0
Public Class,"migration.M013_AddingClassStatusColumn",1,2,1,0
Public Constructor,"migration.M013_AddingClassStatusColumn.M013_AddingClassStatusColumn",,1,,0
Public Method,"migration.M013_AddingClassStatusColumn.up",,1,,0
Public Class,"migration.M014_AddingStudentClassAttributes",1,2,1,0
